Technik	Variation	Angriff, japanischer Name	Angriff, deutsche Beschreibung	Farbprüfung	Karl Ruben (Aikikai)	The Art of Aikido
Shiho Nage	IRIMI	Katate Tori - Aihanme	Griff eines Handgelenks -schräg	Gelb (5. Kyu)		
Shiho Nage	IRIMI	Katate Tori - Gyakuhanme	Griff eines Handgelenks - spiegelgleich	Gelb (5. Kyu)	https://youtu.be/11lFn4wpfsk?si=RiLeV0N7pSdlDv4S&t=432	
Shiho Nage	IRIMI	Ryote-Tori	Griff beider Handgelenke	Gelb (5. Kyu)	https://youtu.be/LaSilceurNY?si=8hMMYbdQ5L2idnT7&t=847	
Shiho Nage	IRIMI	Katate-ryote-tori	Zwei Hände fassen ein Handgelenk	Gelb (5. Kyu)	https://youtu.be/u8WD-0W-pP4?si=JvLKB9cyUN4BjbB1&t=870	
Shiho Nage	IRIMI	Mune-tori	Griff zum Revers	Gelb (5. Kyu)	https://youtu.be/bi8t_-kLil8?si=DHSnqIHQM3GX4V0R&t=1896	
Shiho Nage	TENKAN	Katate Tori - Aihanme	Griff eines Handgelenks -schräg	Gelb (5. Kyu)		
Shiho Nage	TENKAN	Katate Tori - Gyakuhanme	Griff eines Handgelenks - spiegelgleich	Gelb (5. Kyu)	https://youtu.be/11lFn4wpfsk?si=P-Ic8r4e8D0S66EF&t=454	
Shiho Nage	TENKAN	Ryote-Tori	Griff beider Handgelenke	Gelb (5. Kyu)	https://youtu.be/LaSilceurNY?si=gaNl3j18MisYQRhg&t=869	
Shiho Nage	TENKAN	Katate-ryote-tori	Zwei Hände fassen ein Handgelenk	Gelb (5. Kyu)	https://youtu.be/u8WD-0W-pP4?si=eTWBuXCnzeljO1di&t=893	
Shiho Nage	TENKAN	Mune-tori	Griff zum Revers	Gelb (5. Kyu)		
Ude-osae (Ikkyo)	IRIMI	Katate Tori - Aihanme	Griff eines Handgelenks -schräg	Gelb (5. Kyu)		
Ude-osae (Ikkyo)	IRIMI	Katate Tori - Gyakuhanme	Griff eines Handgelenks - spiegelgleich	Gelb (5. Kyu)		
